,artistId,name,relatedArtists,followers,popularity,genres,indegreeCentrality,eigenCentrality,betweenCentrality,closenessCentrality,pageRank
1,05owR1ds02eaZgCrtfATRF,Fereshteh,"['7DCmQW885aZQY5fhN1C2PD', '7MYldHzLrKMxUl7AcNTmHO', '5TJxWW696uXFzZYpp9b6nk', '5YIrZ5wG9Fj4FY2NgCK7KL', '5fDiPm7RFIZx73fNwnLOxR']",514,10,['classic persian pop'],2,9.59392974512e-07,0.0151487757852917,0.06042068047748624,0.0009202568215330128
2,7MYldHzLrKMxUl7AcNTmHO,Giti,"['7DCmQW885aZQY5fhN1C2PD', '05owR1ds02eaZgCrtfATRF', '5TJxWW696uXFzZYpp9b6nk', '6XJ5KXl0DaiBPd5xH5x7i5', '3Tf5EjUPHi04W0filXAkrG']",678,14,['classic persian pop'],1,1.91921658543e-07,0.000673653368948024,0.05612274313282797,0.0006796933639319096
3,4DKaZIByJZluOmixSYIjjk,Siavash Ghomayshi,"['2jvB5M73tBZlWybPmxIaw7', '1xA7r3Y1UGCp3rQMkgFXz4', '5WCHc16VvzVCmBKH70CYfw', '2IYl0pVatTl6O2d1CQj6GQ', '3IDPcBP4OoTNvm3b4h46cW']",26353,39,['classic persian pop'],4,4.11120727411e-06,0.004720312244000823,0.16775234195669705,0.010359008332422608
4,2jvB5M73tBZlWybPmxIaw7,Dariush,"['5b1CDxqOGnXr5M1DUn2XQh', '5WCHc16VvzVCmBKH70CYfw', '1xA7r3Y1UGCp3rQMkgFXz4', '3pI1XXzzKOYdYCLWurc2Ky', '4NdEcxTgFXf083ttLRBZOE']",21990,39,['classic persian pop'],19,1.31812468674e-05,0.03683687717806162,0.19319345542880276,0.030308545546722982
5,5WCHc16VvzVCmBKH70CYfw,Moein,"['2jvB5M73tBZlWybPmxIaw7', '5b1CDxqOGnXr5M1DUn2XQh', '4NdEcxTgFXf083ttLRBZOE', '4DKaZIByJZluOmixSYIjjk', '56m55Jl81jGd7q54U0IAOE']",22863,42,['classic persian pop'],5,4.60520192553e-06,0.01324874228170148,0.16525872606274616,0.011142637779626752
6,56m55Jl81jGd7q54U0IAOE,Afshin,"['1gej3rNdgoHFpH0D4Nxupv', '5WCHc16VvzVCmBKH70CYfw', '6hGL5amK9JGLOa3PNydScE', '4NdEcxTgFXf083ttLRBZOE', '5DKMxoSsZBKkZG22hJHbfq']",4906,35,"['classic persian pop', 'persian pop']",6,1.01018510658e-06,0.011572769870413991,0.13880982665883332,0.003583593087311527
7,4NdEcxTgFXf083ttLRBZOE,Bijan Mortazavi,"['5b1CDxqOGnXr5M1DUn2XQh', '0cuFX3PhgtIqQDKPLCL854', '2jvB5M73tBZlWybPmxIaw7', '5DKMxoSsZBKkZG22hJHbfq', '5vGVXwtTLpfUyOxX5nkV0P']",5524,29,['classic persian pop'],13,1.37880980406e-05,0.023251511080413893,0.17646674933107093,0.024834201393121376
8,5vGVXwtTLpfUyOxX5nkV0P,Mahasti,"['1FEABcMZtFitRlvH8V0UJI', '2qNu2Ys8ePDMvKwixWNdbS', '5b1CDxqOGnXr5M1DUn2XQh', '4NdEcxTgFXf083ttLRBZOE', '0cuFX3PhgtIqQDKPLCL854']",12451,32,"['classic persian pop', 'persian traditional']",6,9.83109641942e-06,0.006073697620014455,0.16327297368014973,0.016068835732706645
9,3meYUCHyh5OayViOog5daw,Shahram Nazeri,"['45EXJ1cQAEt8k2zIYHyLBm', '129o0b0q8hAgjrd7jDrbhP', '5Uj3HYkiz1cn32IPHMqhOy', '4eVyI1yiHoRjVrxt5y7gGL', '1xA7r3Y1UGCp3rQMkgFXz4']",9552,29,"['classic persian pop', 'persian traditional']",9,8.64700733917e-11,0.0492269309744032,0.08324809890158757,0.00862911075777124
10,5Uj3HYkiz1cn32IPHMqhOy,Homayoun Shajarian,"['45EXJ1cQAEt8k2zIYHyLBm', '129o0b0q8hAgjrd7jDrbhP', '3meYUCHyh5OayViOog5daw', '5tJdqzQYWhaBSWzGVhqGUX', '27dwAgbXmxxoow8Mpn7aQz']",19777,37,"['classic persian pop', 'persian traditional']",11,7.35206082842e-11,0.05526247454437874,0.07966870181526525,0.00986512823721582
11,129o0b0q8hAgjrd7jDrbhP,Hossein Alizadeh,"['5Uj3HYkiz1cn32IPHMqhOy', '3meYUCHyh5OayViOog5daw', '2NzB7sjEg2k46XhFXeYi2v', '5sarhkyrBmQFnOJe2HrMBH', '45EXJ1cQAEt8k2zIYHyLBm']",8270,30,"['persian neo-traditional', 'persian traditional']",9,5.55249671536e-11,0.045147218228533875,0.07874530411231949,0.00861825839204728
13,1sGLUwUvy2iW7hhbNOpJLQ,Shakila,"['2qNu2Ys8ePDMvKwixWNdbS', '0EffwahbVorwsGoVtfovXM', '0FYkbjit3zaFIN4kvVUdGW', '2Y2gsVQ9NzlSlQdCgnQ6ug', '5b1CDxqOGnXr5M1DUn2XQh']",4091,20,['classic persian pop'],0,1.06071495873e-18,0.0,0.0,0.0005140468236726006
14,0L2xFm9NOT8alkoXmVl8BL,Abbas Ghaderi,"['0uCPk7Qaa7trIUAo0MarQa', '1Sz090MImPxme9m9F5zM6x', '5TJxWW696uXFzZYpp9b6nk', '4CXwPHzJ8f5TxtyrsjbwLl', '6FwyjZoydsivQ2ge94HmLP']",1072,22,['classic persian pop'],0,-1.53274087491e-18,0.0,0.0,0.0005140468236726006
15,1Sz090MImPxme9m9F5zM6x,Andy & Kouros,"['5TJxWW696uXFzZYpp9b6nk', '5akOgE7THgqgmt4fAxQkre', '69bVyzCRQweGwImywypLRD', '0uCPk7Qaa7trIUAo0MarQa', '6FwyjZoydsivQ2ge94HmLP']",2835,29,['classic persian pop'],4,0.000665343925419,0.09777291451013322,0.09378179239757067,0.0019516400015812195
16,6FwyjZoydsivQ2ge94HmLP,Siavash,"['3Tf5EjUPHi04W0filXAkrG', '4CXwPHzJ8f5TxtyrsjbwLl', '0EffwahbVorwsGoVtfovXM', '2qNu2Ys8ePDMvKwixWNdbS', '1Sz090MImPxme9m9F5zM6x']",3415,24,['classic persian pop'],6,0.00315024634894,0.09860907428682901,0.10434424683142676,0.0024910860691145847
17,4CXwPHzJ8f5TxtyrsjbwLl,Morteza,"['0EffwahbVorwsGoVtfovXM', '3Tf5EjUPHi04W0filXAkrG', '6FwyjZoydsivQ2ge94HmLP', '5coMLgB6HtAg6rf9QVPLPa', '2Y2gsVQ9NzlSlQdCgnQ6ug']",2879,27,['classic persian pop'],3,0.0149182780991,0.08882205640999612,0.11558738873953889,0.001953306481009296
18,3Tf5EjUPHi04W0filXAkrG,Nooshafarin,"['0EffwahbVorwsGoVtfovXM', '5akOgE7THgqgmt4fAxQkre', '5coMLgB6HtAg6rf9QVPLPa', '69bVyzCRQweGwImywypLRD', '2Y2gsVQ9NzlSlQdCgnQ6ug']",1753,22,['classic persian pop'],15,0.452867502777,0.03180792232690392,0.17595893134738438,0.029374440212733735
19,1yPzb9mqugowOfUs2vIOgL,Erfan,"['1PgsdK1Ll4oK28g6KLPOg1', '2B4DnBz9uzJN5nPgLEHCt7', '5y33cZ1Lo1YVUjraV880Lb', '2SFwcduI9cdZsG6UxnBm3C', '3tecdksDTajgP8xxkuDgyJ']",7153,32,['persian hip hop'],2,-1.30687172717e-18,0.00022744796614143346,0.010050251256281407,0.0007885480921176971
20,2B4DnBz9uzJN5nPgLEHCt7,Sohrab Mj,"['5y33cZ1Lo1YVUjraV880Lb', '2SFwcduI9cdZsG6UxnBm3C', '5vVveQB8n4kETe67waTS3t', '3tecdksDTajgP8xxkuDgyJ', '4uGBJ4gqsK7NAUb3DKTL7Q']",3322,26,['persian hip hop'],4,2.072009265e-17,0.0002307110347311352,0.02680067001675042,0.0020482458463181702
21,3tecdksDTajgP8xxkuDgyJ,Alireza Jj,"['2B4DnBz9uzJN5nPgLEHCt7', '5vVveQB8n4kETe67waTS3t', '4zNEj5bkHE0kNSpfIwgdvu', '7AJU2n7M6XW5j1fdqTdZgI', '1PgsdK1Ll4oK28g6KLPOg1']",4655,32,"['persian hip hop', 'persian pop']",6,2.6835712634e-17,0.00040486221390744,0.032160804020100506,0.00245665382241482
22,1PgsdK1Ll4oK28g6KLPOg1,Sadegh,"['5vVveQB8n4kETe67waTS3t', '0u4qrFczDmAsJesHPgbnru', '2B4DnBz9uzJN5nPgLEHCt7', '0jCVTRvQkILbJvpviTpvd1', '3tecdksDTajgP8xxkuDgyJ']",4801,24,['persian hip hop'],5,2.49124747604e-17,0.00039954462065014824,0.02923709456372773,0.002128225807361102
23,0u4qrFczDmAsJesHPgbnru,Reza Pishro,"['7mGDv3CYlPghTIWzE6tOpv', '5y33cZ1Lo1YVUjraV880Lb', '2SFwcduI9cdZsG6UxnBm3C', '4uGBJ4gqsK7NAUb3DKTL7Q', '3QNGoF6VzVNnkpjJDT3NHq']",5153,23,['persian hip hop'],11,1.01074330449e-09,0.028943357963458465,0.09283764501519945,0.014635446177484846
24,78j1lyp6JO4xzjQzsjKji6,Marzieh,"['0FYkbjit3zaFIN4kvVUdGW', '7f8OibY3PULjl3LFgONPXC', '2qNu2Ys8ePDMvKwixWNdbS', '5b1CDxqOGnXr5M1DUn2XQh', '0cuFX3PhgtIqQDKPLCL854']",3985,24,"['classic persian pop', 'persian traditional']",3,3.56480575225e-06,0.07564315686174986,0.060660445082555636,0.001383018964988751
25,2qNu2Ys8ePDMvKwixWNdbS,Martik,"['1FEABcMZtFitRlvH8V0UJI', '5vGVXwtTLpfUyOxX5nkV0P', '0EffwahbVorwsGoVtfovXM', '5b1CDxqOGnXr5M1DUn2XQh', '3Tf5EjUPHi04W0filXAkrG']",4478,33,['classic persian pop'],11,7.30648558873e-06,0.05290790530057862,0.16048747675384797,0.011037228278879638
26,0EffwahbVorwsGoVtfovXM,Hengameh,"['3Tf5EjUPHi04W0filXAkrG', '5coMLgB6HtAg6rf9QVPLPa', '2Y2gsVQ9NzlSlQdCgnQ6ug', '5akOgE7THgqgmt4fAxQkre', '59N9f8b5zCYSCyov5lxBhm']",3379,29,"['classic persian pop', 'persian pop']",17,0.457731629755,0.061014095530700294,0.1861361602533214,0.03093152210900395
