,artistId,name,relatedArtists,followers,popularity,genres
0,1FEABcMZtFitRlvH8V0UJI,Aref,"['5b1CDxqOGnXr5M1DUn2XQh', '5vGVXwtTLpfUyOxX5nkV0P', '2qNu2Ys8ePDMvKwixWNdbS', '0FYkbjit3zaFIN4kvVUdGW', '4NdEcxTgFXf083ttLRBZOE']",6560,29,['classic persian pop']
1,4NdEcxTgFXf083ttLRBZOE,Bijan Mortazavi,"['5b1CDxqOGnXr5M1DUn2XQh', '2jvB5M73tBZlWybPmxIaw7', '0cuFX3PhgtIqQDKPLCL854', '5DKMxoSsZBKkZG22hJHbfq', '5WCHc16VvzVCmBKH70CYfw']",5323,27,['classic persian pop']
2,2jvB5M73tBZlWybPmxIaw7,Dariush,"['5b1CDxqOGnXr5M1DUn2XQh', '5WCHc16VvzVCmBKH70CYfw', '2IYl0pVatTl6O2d1CQj6GQ', '4NdEcxTgFXf083ttLRBZOE', '3pI1XXzzKOYdYCLWurc2Ky']",21090,36,['classic persian pop']
3,5b1CDxqOGnXr5M1DUn2XQh,Hayedeh,"['2jvB5M73tBZlWybPmxIaw7', '1FEABcMZtFitRlvH8V0UJI', '4NdEcxTgFXf083ttLRBZOE', '3pI1XXzzKOYdYCLWurc2Ky', '0cuFX3PhgtIqQDKPLCL854']",21280,37,['classic persian pop']
4,3pI1XXzzKOYdYCLWurc2Ky,Ebi,"['5b1CDxqOGnXr5M1DUn2XQh', '2jvB5M73tBZlWybPmxIaw7', '1xA7r3Y1UGCp3rQMkgFXz4', '4DKaZIByJZluOmixSYIjjk', '2IYl0pVatTl6O2d1CQj6GQ']",35235,39,['classic persian pop']
5,78j1lyp6JO4xzjQzsjKji6,Marzieh,"['0FYkbjit3zaFIN4kvVUdGW', '2qNu2Ys8ePDMvKwixWNdbS', '7f8OibY3PULjl3LFgONPXC', '2Y2gsVQ9NzlSlQdCgnQ6ug', '5fDiPm7RFIZx73fNwnLOxR']",3858,22,"['classic persian pop', 'persian traditional']"
6,0FYkbjit3zaFIN4kvVUdGW,Alireza Eftekhari,"['5b1CDxqOGnXr5M1DUn2XQh', '2jvB5M73tBZlWybPmxIaw7', '7f8OibY3PULjl3LFgONPXC', '4NdEcxTgFXf083ttLRBZOE', '0cuFX3PhgtIqQDKPLCL854']",3269,25,"['classic persian pop', 'persian traditional']"
7,7f8OibY3PULjl3LFgONPXC,Fereidoon Foroughi,"['5b1CDxqOGnXr5M1DUn2XQh', '0FYkbjit3zaFIN4kvVUdGW', '0cuFX3PhgtIqQDKPLCL854', '2qNu2Ys8ePDMvKwixWNdbS', '7159gjWBGZLDBKrhH0gQVB']",3926,25,['classic persian pop']
8,0cuFX3PhgtIqQDKPLCL854,Viguen,"['5b1CDxqOGnXr5M1DUn2XQh', '5fDiPm7RFIZx73fNwnLOxR', '2qNu2Ys8ePDMvKwixWNdbS', '4NdEcxTgFXf083ttLRBZOE', '7f8OibY3PULjl3LFgONPXC']",5295,29,['classic persian pop']
9,6XJ5KXl0DaiBPd5xH5x7i5,Houshmand Aghili,"['1grC023GSmH0FTqX3Pwxgw', '1Sz090MImPxme9m9F5zM6x', '7IHTK9lmwhFuuJ2ditvlQr', '25MK2fNxURgal32iaffifr', '5TJxWW696uXFzZYpp9b6nk']",963,13,['classic persian pop']
10,1Sz090MImPxme9m9F5zM6x,Andy & Kouros,"['5TJxWW696uXFzZYpp9b6nk', '69bVyzCRQweGwImywypLRD', '5akOgE7THgqgmt4fAxQkre', '2HGF8MZq8nygoAlDB3BhCP', '6FwyjZoydsivQ2ge94HmLP']",2748,26,['classic persian pop']
11,3lDvSMuYmhBK4KhJ9Bryak,Behnam Bani,"['0Ivc48Y30tpafzyoi2U4OJ', '0RijxlHRlHCt8hYWPclQRJ', '3ik1ITmfyz6tnIgodqEHlz', '5soNWYxH02JzesP081GwEl', '1IlwO4YlID1tcb5QgWOiQu']",6723,36,['persian pop']
12,0RijxlHRlHCt8hYWPclQRJ,Puzzle Band,"['3lDvSMuYmhBK4KhJ9Bryak', '0Ivc48Y30tpafzyoi2U4OJ', '72YzRGDNjyHcUMLtsmJgKN', '1IlwO4YlID1tcb5QgWOiQu', '3ik1ITmfyz6tnIgodqEHlz']",4633,34,['persian pop']
13,4NsjYrMOyuCPXgVjw2V93o,Arash AP,[],825,33,[]
14,6a3oGQA11oMCKPqYRcG7Nq,Kamran & Hooman,"['1tOtb40DeTYQJZPe11zSVx', '56m55Jl81jGd7q54U0IAOE', '1gej3rNdgoHFpH0D4Nxupv', '72482nIO3fujPgLNJQWuCy', '1IU605ta1wAa04gO13wTsT']",7809,32,"['classic persian pop', 'persian pop']"
15,1IU605ta1wAa04gO13wTsT,Mehrshad,"['1bVetRIib0DC0OuFKkrB17', '6a3oGQA11oMCKPqYRcG7Nq', '2BAb1Ohq2UZYaK5JsYwsL6', '56m55Jl81jGd7q54U0IAOE', '1tOtb40DeTYQJZPe11zSVx']",1450,26,"['classic persian pop', 'persian pop']"
16,72482nIO3fujPgLNJQWuCy,Mohsen Yeganeh,"['2IYl0pVatTl6O2d1CQj6GQ', '00J3XSB6tD4SGSFflGseDx', '1tOtb40DeTYQJZPe11zSVx', '3IDPcBP4OoTNvm3b4h46cW', '0iMvs2xig8hcY8LdFCSHKZ']",21732,27,"['classic persian pop', 'persian pop']"
17,3IDPcBP4OoTNvm3b4h46cW,Shadmehr Aghili,"['2IYl0pVatTl6O2d1CQj6GQ', '2jvB5M73tBZlWybPmxIaw7', '72482nIO3fujPgLNJQWuCy', '00J3XSB6tD4SGSFflGseDx', '5b1CDxqOGnXr5M1DUn2XQh']",25785,39,"['classic persian pop', 'persian pop']"
18,2IYl0pVatTl6O2d1CQj6GQ,Mohsen Chavoshi,"['72482nIO3fujPgLNJQWuCy', '00J3XSB6tD4SGSFflGseDx', '2jvB5M73tBZlWybPmxIaw7', '3IDPcBP4OoTNvm3b4h46cW', '4DKaZIByJZluOmixSYIjjk']",23559,40,"['classic persian pop', 'persian pop']"
19,7hQmAXAzWI6D350VTgkKTG,Arash,"['56m55Jl81jGd7q54U0IAOE', '6hGL5amK9JGLOa3PNydScE', '1gej3rNdgoHFpH0D4Nxupv', '6a3oGQA11oMCKPqYRcG7Nq', '57Pw3FSi1qi2fOY4wKOKjK']",47606,50,['persian pop']
20,6hGL5amK9JGLOa3PNydScE,Mansour,"['4NdEcxTgFXf083ttLRBZOE', '56m55Jl81jGd7q54U0IAOE', '1gej3rNdgoHFpH0D4Nxupv', '5b1CDxqOGnXr5M1DUn2XQh', '3IDPcBP4OoTNvm3b4h46cW']",8749,37,"['classic persian pop', 'persian pop']"
21,56m55Jl81jGd7q54U0IAOE,Afshin,"['1gej3rNdgoHFpH0D4Nxupv', '5WCHc16VvzVCmBKH70CYfw', '6hGL5amK9JGLOa3PNydScE', '4NdEcxTgFXf083ttLRBZOE', '5DKMxoSsZBKkZG22hJHbfq']",4756,33,"['classic persian pop', 'persian pop']"
22,1gej3rNdgoHFpH0D4Nxupv,Black Cats,"['56m55Jl81jGd7q54U0IAOE', '4NdEcxTgFXf083ttLRBZOE', '5DKMxoSsZBKkZG22hJHbfq', '6hGL5amK9JGLOa3PNydScE', '5b1CDxqOGnXr5M1DUn2XQh']",6188,34,['persian pop']
23,69bVyzCRQweGwImywypLRD,Susan Roshan,"['5akOgE7THgqgmt4fAxQkre', '2HGF8MZq8nygoAlDB3BhCP', '3Tf5EjUPHi04W0filXAkrG', '0EffwahbVorwsGoVtfovXM', '2Y2gsVQ9NzlSlQdCgnQ6ug']",1276,19,['classic persian pop']
24,6Wv60Ia6xpfZG3WEazWwLo,Shahram Solati,"['0EffwahbVorwsGoVtfovXM', '5coMLgB6HtAg6rf9QVPLPa', '3Tf5EjUPHi04W0filXAkrG', '2Y2gsVQ9NzlSlQdCgnQ6ug', '4CXwPHzJ8f5TxtyrsjbwLl']",3913,27,"['classic persian pop', 'persian pop']"
25,5coMLgB6HtAg6rf9QVPLPa,Pouya,"['0EffwahbVorwsGoVtfovXM', '3Tf5EjUPHi04W0filXAkrG', '5akOgE7THgqgmt4fAxQkre', '6Wv60Ia6xpfZG3WEazWwLo', '2Y2gsVQ9NzlSlQdCgnQ6ug']",1239,38,"['classic persian pop', 'persian pop']"
26,2Y2gsVQ9NzlSlQdCgnQ6ug,Shahrokh,"['0EffwahbVorwsGoVtfovXM', '3Tf5EjUPHi04W0filXAkrG', '69bVyzCRQweGwImywypLRD', '59N9f8b5zCYSCyov5lxBhm', '5coMLgB6HtAg6rf9QVPLPa']",1300,17,['classic persian pop']
